CustomerID,CustomerName,Gender,City,Segment
1,Customer_1,Male,Bangalore,Enterprise
2,Customer_2,Female,Bangalore,Retail
3,Customer_3,Female,Bangalore,Retail
4,Customer_4,Female,Bangalore,Enterprise
5,Customer_5,Male,Pune,Corporate
6,Customer_6,Female,Hyderabad,Corporate
7,Customer_7,Male,Bangalore,Corporate
8,Customer_8,Male,Pune,Enterprise
9,Customer_9,Female,Hyderabad,Corporate
10,Customer_10,Male,Hyderabad,Enterprise
11,Customer_11,Female,Hyderabad,Corporate
12,Customer_12,Female,Chennai,Enterprise
13,Customer_13,Male,Hyderabad,Enterprise
14,Customer_14,Female,Bangalore,Retail
15,Customer_15,Female,Delhi,Enterprise
16,Customer_16,Male,Bangalore,Corporate
17,Customer_17,Female,Delhi,Enterprise
18,Customer_18,Female,Pune,Enterprise
19,Customer_19,Female,Pune,Corporate
20,Customer_20,Male,Delhi,Corporate
21,Customer_21,Male,Mumbai,Retail
22,Customer_22,Male,Chennai,Corporate
23,Customer_23,Female,Chennai,Corporate
24,Customer_24,Female,Chennai,Enterprise
25,Customer_25,Female,Bangalore,Enterprise
26,Customer_26,Male,Pune,Enterprise
27,Customer_27,Female,Delhi,Enterprise
28,Customer_28,Male,Delhi,Enterprise
29,Customer_29,Male,Hyderabad,Corporate
30,Customer_30,Female,Hyderabad,Enterprise
31,Customer_31,Female,Delhi,Retail
32,Customer_32,Female,Chennai,Enterprise
33,Customer_33,Female,Delhi,Corporate
34,Customer_34,Female,Hyderabad,Retail
35,Customer_35,Male,Hyderabad,Corporate
36,Customer_36,Female,Chennai,Corporate
37,Customer_37,Female,Hyderabad,Enterprise
38,Customer_38,Female,Mumbai,Corporate
39,Customer_39,Female,Pune,Retail
40,Customer_40,Female,Hyderabad,Corporate
41,Customer_41,Female,Chennai,Retail
42,Customer_42,Male,Chennai,Corporate
43,Customer_43,Male,Pune,Enterprise
44,Customer_44,Female,Hyderabad,Enterprise
45,Customer_45,Female,Hyderabad,Enterprise
46,Customer_46,Male,Bangalore,Corporate
47,Customer_47,Male,Chennai,Enterprise
48,Customer_48,Female,Chennai,Retail
49,Customer_49,Female,Mumbai,Enterprise
50,Customer_50,Female,Hyderabad,Retail
51,Customer_51,Female,Mumbai,Corporate
52,Customer_52,Male,Delhi,Corporate
53,Customer_53,Female,Delhi,Retail
54,Customer_54,Female,Hyderabad,Enterprise
55,Customer_55,Female,Mumbai,Retail
56,Customer_56,Female,Mumbai,Corporate
57,Customer_57,Male,Chennai,Enterprise
58,Customer_58,Female,Chennai,Enterprise
59,Customer_59,Female,Chennai,Retail
60,Customer_60,Male,Mumbai,Enterprise
61,Customer_61,Female,Chennai,Enterprise
62,Customer_62,Male,Pune,Retail
63,Customer_63,Male,Hyderabad,Corporate
64,Customer_64,Female,Pune,Corporate
65,Customer_65,Female,Bangalore,Corporate
66,Customer_66,Female,Delhi,Enterprise
67,Customer_67,Male,Hyderabad,Enterprise
68,Customer_68,Male,Delhi,Retail
69,Customer_69,Female,Mumbai,Corporate
70,Customer_70,Male,Delhi,Corporate
71,Customer_71,Female,Chennai,Corporate
72,Customer_72,Male,Hyderabad,Enterprise
73,Customer_73,Male,Delhi,Enterprise
74,Customer_74,Male,Mumbai,Corporate
75,Customer_75,Female,Pune,Enterprise
76,Customer_76,Female,Mumbai,Enterprise
77,Customer_77,Male,Pune,Enterprise
78,Customer_78,Male,Mumbai,Corporate
79,Customer_79,Male,Hyderabad,Corporate
80,Customer_80,Male,Chennai,Enterprise
81,Customer_81,Male,Hyderabad,Retail
82,Customer_82,Male,Pune,Retail
83,Customer_83,Female,Mumbai,Corporate
84,Customer_84,Male,Mumbai,Corporate
85,Customer_85,Male,Mumbai,Retail
86,Customer_86,Male,Delhi,Retail
87,Customer_87,Female,Bangalore,Enterprise
88,Customer_88,Male,Bangalore,Corporate
89,Customer_89,Male,Hyderabad,Corporate
90,Customer_90,Female,Mumbai,Retail
91,Customer_91,Female,Mumbai,Enterprise
92,Customer_92,Female,Delhi,Corporate
93,Customer_93,Female,Pune,Corporate
94,Customer_94,Female,Chennai,Enterprise
95,Customer_95,Female,Chennai,Retail
96,Customer_96,Male,Bangalore,Retail
97,Customer_97,Male,Bangalore,Retail
98,Customer_98,Male,Pune,Enterprise
99,Customer_99,Female,Mumbai,Corporate
100,Customer_100,Male,Mumbai,Enterprise
101,Customer_101,Male,Pune,Retail
102,Customer_102,Female,Pune,Enterprise
103,Customer_103,Male,Pune,Retail
104,Customer_104,Female,Pune,Retail
105,Customer_105,Male,Mumbai,Enterprise
106,Customer_106,Female,Mumbai,Retail
107,Customer_107,Male,Hyderabad,Corporate
108,Customer_108,Male,Bangalore,Enterprise
109,Customer_109,Male,Bangalore,Retail
110,Customer_110,Female,Delhi,Retail
111,Customer_111,Female,Pune,Corporate
112,Customer_112,Male,Pune,Retail
113,Customer_113,Male,Delhi,Retail
114,Customer_114,Female,Bangalore,Enterprise
115,Customer_115,Male,Chennai,Enterprise
116,Customer_116,Female,Mumbai,Enterprise
117,Customer_117,Male,Chennai,Retail
118,Customer_118,Male,Delhi,Enterprise
119,Customer_119,Female,Hyderabad,Enterprise
120,Customer_120,Female,Hyderabad,Retail
121,Customer_121,Male,Mumbai,Enterprise
122,Customer_122,Female,Bangalore,Retail
123,Customer_123,Female,Bangalore,Corporate
124,Customer_124,Male,Hyderabad,Corporate
125,Customer_125,Male,Chennai,Corporate
126,Customer_126,Female,Mumbai,Enterprise
127,Customer_127,Male,Mumbai,Corporate
128,Customer_128,Male,Delhi,Retail
129,Customer_129,Female,Hyderabad,Enterprise
130,Customer_130,Female,Hyderabad,Corporate
131,Customer_131,Female,Mumbai,Corporate
132,Customer_132,Female,Delhi,Retail
133,Customer_133,Male,Pune,Corporate
134,Customer_134,Male,Mumbai,Retail
135,Customer_135,Male,Mumbai,Enterprise
136,Customer_136,Female,Hyderabad,Enterprise
137,Customer_137,Male,Bangalore,Retail
138,Customer_138,Female,Chennai,Enterprise
139,Customer_139,Male,Hyderabad,Retail
140,Customer_140,Male,Chennai,Corporate
141,Customer_141,Female,Pune,Enterprise
142,Customer_142,Female,Bangalore,Enterprise
143,Customer_143,Male,Delhi,Enterprise
144,Customer_144,Female,Pune,Retail
145,Customer_145,Male,Bangalore,Retail
146,Customer_146,Female,Delhi,Retail
147,Customer_147,Male,Bangalore,Retail
148,Customer_148,Female,Mumbai,Enterprise
149,Customer_149,Female,Mumbai,Corporate
150,Customer_150,Female,Mumbai,Corporate
151,Customer_151,Male,Mumbai,Retail
152,Customer_152,Female,Bangalore,Retail
153,Customer_153,Male,Mumbai,Corporate
154,Customer_154,Male,Mumbai,Retail
155,Customer_155,Male,Hyderabad,Retail
156,Customer_156,Female,Hyderabad,Enterprise
157,Customer_157,Female,Hyderabad,Corporate
158,Customer_158,Male,Pune,Enterprise
159,Customer_159,Male,Delhi,Retail
160,Customer_160,Male,Pune,Corporate
161,Customer_161,Male,Chennai,Corporate
162,Customer_162,Male,Delhi,Enterprise
163,Customer_163,Male,Bangalore,Enterprise
164,Customer_164,Female,Pune,Corporate
165,Customer_165,Female,Pune,Retail
166,Customer_166,Female,Delhi,Enterprise
167,Customer_167,Male,Delhi,Corporate
168,Customer_168,Male,Bangalore,Corporate
169,Customer_169,Female,Chennai,Enterprise
170,Customer_170,Male,Delhi,Enterprise
171,Customer_171,Female,Bangalore,Enterprise
172,Customer_172,Male,Hyderabad,Retail
173,Customer_173,Female,Bangalore,Retail
174,Customer_174,Male,Delhi,Enterprise
175,Customer_175,Male,Mumbai,Retail
176,Customer_176,Female,Mumbai,Corporate
177,Customer_177,Female,Hyderabad,Retail
178,Customer_178,Male,Hyderabad,Enterprise
179,Customer_179,Female,Hyderabad,Corporate
180,Customer_180,Female,Mumbai,Retail
181,Customer_181,Male,Chennai,Corporate
182,Customer_182,Female,Mumbai,Corporate
183,Customer_183,Female,Delhi,Corporate
184,Customer_184,Male,Bangalore,Corporate
185,Customer_185,Male,Pune,Corporate
186,Customer_186,Female,Mumbai,Retail
187,Customer_187,Male,Delhi,Corporate
188,Customer_188,Male,Pune,Enterprise
189,Customer_189,Female,Bangalore,Corporate
190,Customer_190,Female,Mumbai,Corporate
191,Customer_191,Female,Bangalore,Retail
192,Customer_192,Female,Mumbai,Corporate
193,Customer_193,Male,Hyderabad,Retail
194,Customer_194,Female,Pune,Enterprise
195,Customer_195,Female,Mumbai,Corporate
196,Customer_196,Male,Chennai,Retail
197,Customer_197,Female,Bangalore,Enterprise
198,Customer_198,Female,Chennai,Enterprise
199,Customer_199,Female,Hyderabad,Corporate
200,Customer_200,Male,Pune,Enterprise
201,Customer_201,Male,Bangalore,Corporate
202,Customer_202,Male,Pune,Corporate
203,Customer_203,Male,Chennai,Retail
204,Customer_204,Male,Pune,Enterprise
205,Customer_205,Female,Delhi,Enterprise
206,Customer_206,Female,Pune,Enterprise
207,Customer_207,Female,Chennai,Retail
208,Customer_208,Male,Delhi,Corporate
209,Customer_209,Male,Mumbai,Enterprise
210,Customer_210,Female,Bangalore,Retail
211,Customer_211,Male,Chennai,Retail
212,Customer_212,Female,Pune,Retail
213,Customer_213,Male,Mumbai,Corporate
214,Customer_214,Female,Chennai,Retail
215,Customer_215,Male,Bangalore,Retail
216,Customer_216,Male,Hyderabad,Enterprise
217,Customer_217,Male,Delhi,Retail
218,Customer_218,Male,Mumbai,Corporate
