DateID,Date,Year,Month,MonthName,Quarter,Day,Week
1,2019-01-01,2019,1,January,1,1,1
2,2019-01-02,2019,1,January,1,2,1
3,2019-01-03,2019,1,January,1,3,1
4,2019-01-04,2019,1,January,1,4,1
5,2019-01-05,2019,1,January,1,5,1
6,2019-01-06,2019,1,January,1,6,1
7,2019-01-07,2019,1,January,1,7,2
8,2019-01-08,2019,1,January,1,8,2
9,2019-01-09,2019,1,January,1,9,2
10,2019-01-10,2019,1,January,1,10,2
11,2019-01-11,2019,1,January,1,11,2
12,2019-01-12,2019,1,January,1,12,2
13,2019-01-13,2019,1,January,1,13,2
14,2019-01-14,2019,1,January,1,14,3
15,2019-01-15,2019,1,January,1,15,3
16,2019-01-16,2019,1,January,1,16,3
17,2019-01-17,2019,1,January,1,17,3
18,2019-01-18,2019,1,January,1,18,3
19,2019-01-19,2019,1,January,1,19,3
20,2019-01-20,2019,1,January,1,20,3
21,2019-01-21,2019,1,January,1,21,4
22,2019-01-22,2019,1,January,1,22,4
23,2019-01-23,2019,1,January,1,23,4
24,2019-01-24,2019,1,January,1,24,4
25,2019-01-25,2019,1,January,1,25,4
26,2019-01-26,2019,1,January,1,26,4
27,2019-01-27,2019,1,January,1,27,4
28,2019-01-28,2019,1,January,1,28,5
29,2019-01-29,2019,1,January,1,29,5
30,2019-01-30,2019,1,January,1,30,5
31,2019-01-31,2019,1,January,1,31,5
32,2019-02-01,2019,2,February,1,1,5
33,2019-02-02,2019,2,February,1,2,5
34,2019-02-03,2019,2,February,1,3,5
35,2019-02-04,2019,2,February,1,4,6
36,2019-02-05,2019,2,February,1,5,6
37,2019-02-06,2019,2,February,1,6,6
38,2019-02-07,2019,2,February,1,7,6
39,2019-02-08,2019,2,February,1,8,6
40,2019-02-09,2019,2,February,1,9,6
41,2019-02-10,2019,2,February,1,10,6
42,2019-02-11,2019,2,February,1,11,7
43,2019-02-12,2019,2,February,1,12,7
44,2019-02-13,2019,2,February,1,13,7
45,2019-02-14,2019,2,February,1,14,7
46,2019-02-15,2019,2,February,1,15,7
47,2019-02-16,2019,2,February,1,16,7
48,2019-02-17,2019,2,February,1,17,7
49,2019-02-18,2019,2,February,1,18,8
50,2019-02-19,2019,2,February,1,19,8
51,2019-02-20,2019,2,February,1,20,8
52,2019-02-21,2019,2,February,1,21,8
53,2019-02-22,2019,2,February,1,22,8
54,2019-02-23,2019,2,February,1,23,8
55,2019-02-24,2019,2,February,1,24,8
56,2019-02-25,2019,2,February,1,25,9
57,2019-02-26,2019,2,February,1,26,9
58,2019-02-27,2019,2,February,1,27,9
59,2019-02-28,2019,2,February,1,28,9
60,2019-03-01,2019,3,March,1,1,9
61,2019-03-02,2019,3,March,1,2,9
62,2019-03-03,2019,3,March,1,3,9
63,2019-03-04,2019,3,March,1,4,10
64,2019-03-05,2019,3,March,1,5,10
65,2019-03-06,2019,3,March,1,6,10
66,2019-03-07,2019,3,March,1,7,10
67,2019-03-08,2019,3,March,1,8,10
68,2019-03-09,2019,3,March,1,9,10
69,2019-03-10,2019,3,March,1,10,10
70,2019-03-11,2019,3,March,1,11,11
71,2019-03-12,2019,3,March,1,12,11
72,2019-03-13,2019,3,March,1,13,11
73,2019-03-14,2019,3,March,1,14,11
74,2019-03-15,2019,3,March,1,15,11
75,2019-03-16,2019,3,March,1,16,11
76,2019-03-17,2019,3,March,1,17,11
77,2019-03-18,2019,3,March,1,18,12
78,2019-03-19,2019,3,March,1,19,12
79,2019-03-20,2019,3,March,1,20,12
80,2019-03-21,2019,3,March,1,21,12
81,2019-03-22,2019,3,March,1,22,12
82,2019-03-23,2019,3,March,1,23,12
83,2019-03-24,2019,3,March,1,24,12
84,2019-03-25,2019,3,March,1,25,13
85,2019-03-26,2019,3,March,1,26,13
86,2019-03-27,2019,3,March,1,27,13
87,2019-03-28,2019,3,March,1,28,13
88,2019-03-29,2019,3,March,1,29,13
89,2019-03-30,2019,3,March,1,30,13
90,2019-03-31,2019,3,March,1,31,13
91,2019-04-01,2019,4,April,2,1,14
92,2019-04-02,2019,4,April,2,2,14
93,2019-04-03,2019,4,April,2,3,14
94,2019-04-04,2019,4,April,2,4,14
95,2019-04-05,2019,4,April,2,5,14
96,2019-04-06,2019,4,April,2,6,14
97,2019-04-07,2019,4,April,2,7,14
98,2019-04-08,2019,4,April,2,8,15
99,2019-04-09,2019,4,April,2,9,15
100,2019-04-10,2019,4,April,2,10,15
101,2019-04-11,2019,4,April,2,11,15
102,2019-04-12,2019,4,April,2,12,15
103,2019-04-13,2019,4,April,2,13,15
104,2019-04-14,2019,4,April,2,14,15
105,2019-04-15,2019,4,April,2,15,16
106,2019-04-16,2019,4,April,2,16,16
107,2019-04-17,2019,4,April,2,17,16
108,2019-04-18,2019,4,April,2,18,16
109,2019-04-19,2019,4,April,2,19,16
110,2019-04-20,2019,4,April,2,20,16
111,2019-04-21,2019,4,April,2,21,16
112,2019-04-22,2019,4,April,2,22,17
113,2019-04-23,2019,4,April,2,23,17
114,2019-04-24,2019,4,April,2,24,17
115,2019-04-25,2019,4,April,2,25,17
116,2019-04-26,2019,4,April,2,26,17
117,2019-04-27,2019,4,April,2,27,17
118,2019-04-28,2019,4,April,2,28,17
119,2019-04-29,2019,4,April,2,29,18
120,2019-04-30,2019,4,April,2,30,18
121,2019-05-01,2019,5,May,2,1,18
122,2019-05-02,2019,5,May,2,2,18
123,2019-05-03,2019,5,May,2,3,18
124,2019-05-04,2019,5,May,2,4,18
125,2019-05-05,2019,5,May,2,5,18
126,2019-05-06,2019,5,May,2,6,19
127,2019-05-07,2019,5,May,2,7,19
128,2019-05-08,2019,5,May,2,8,19
129,2019-05-09,2019,5,May,2,9,19
130,2019-05-10,2019,5,May,2,10,19
131,2019-05-11,2019,5,May,2,11,19
132,2019-05-12,2019,5,May,2,12,19
133,2019-05-13,2019,5,May,2,13,20
134,2019-05-14,2019,5,May,2,14,20
135,2019-05-15,2019,5,May,2,15,20
136,2019-05-16,2019,5,May,2,16,20
137,2019-05-17,2019,5,May,2,17,20
138,2019-05-18,2019,5,May,2,18,20
139,2019-05-19,2019,5,May,2,19,20
140,2019-05-20,2019,5,May,2,20,21
141,2019-05-21,2019,5,May,2,21,21
142,2019-05-22,2019,5,May,2,22,21
143,2019-05-23,2019,5,May,2,23,21
144,2019-05-24,2019,5,May,2,24,21
145,2019-05-25,2019,5,May,2,25,21
146,2019-05-26,2019,5,May,2,26,21
147,2019-05-27,2019,5,May,2,27,22
148,2019-05-28,2019,5,May,2,28,22
149,2019-05-29,2019,5,May,2,29,22
150,2019-05-30,2019,5,May,2,30,22
151,2019-05-31,2019,5,May,2,31,22
152,2019-06-01,2019,6,June,2,1,22
153,2019-06-02,2019,6,June,2,2,22
154,2019-06-03,2019,6,June,2,3,23
155,2019-06-04,2019,6,June,2,4,23
156,2019-06-05,2019,6,June,2,5,23
157,2019-06-06,2019,6,June,2,6,23
158,2019-06-07,2019,6,June,2,7,23
159,2019-06-08,2019,6,June,2,8,23
160,2019-06-09,2019,6,June,2,9,23
161,2019-06-10,2019,6,June,2,10,24
162,2019-06-11,2019,6,June,2,11,24
163,2019-06-12,2019,6,June,2,12,24
164,2019-06-13,2019,6,June,2,13,24
165,2019-06-14,2019,6,June,2,14,24
166,2019-06-15,2019,6,June,2,15,24
167,2019-06-16,2019,6,June,2,16,24
168,2019-06-17,2019,6,June,2,17,25
169,2019-06-18,2019,6,June,2,18,25
170,2019-06-19,2019,6,June,2,19,25
171,2019-06-20,2019,6,June,2,20,25
172,2019-06-21,2019,6,June,2,21,25
173,2019-06-22,2019,6,June,2,22,25
174,2019-06-23,2019,6,June,2,23,25
175,2019-06-24,2019,6,June,2,24,26
176,2019-06-25,2019,6,June,2,25,26
177,2019-06-26,2019,6,June,2,26,26
178,2019-06-27,2019,6,June,2,27,26
179,2019-06-28,2019,6,June,2,28,26
180,2019-06-29,2019,6,June,2,29,26
181,2019-06-30,2019,6,June,2,30,26
182,2019-07-01,2019,7,July,3,1,27
183,2019-07-02,2019,7,July,3,2,27
184,2019-07-03,2019,7,July,3,3,27
185,2019-07-04,2019,7,July,3,4,27
186,2019-07-05,2019,7,July,3,5,27
187,2019-07-06,2019,7,July,3,6,27
188,2019-07-07,2019,7,July,3,7,27
189,2019-07-08,2019,7,July,3,8,28
190,2019-07-09,2019,7,July,3,9,28
191,2019-07-10,2019,7,July,3,10,28
192,2019-07-11,2019,7,July,3,11,28
193,2019-07-12,2019,7,July,3,12,28
194,2019-07-13,2019,7,July,3,13,28
195,2019-07-14,2019,7,July,3,14,28
196,2019-07-15,2019,7,July,3,15,29
197,2019-07-16,2019,7,July,3,16,29
198,2019-07-17,2019,7,July,3,17,29
199,2019-07-18,2019,7,July,3,18,29
200,2019-07-19,2019,7,July,3,19,29
201,2019-07-20,2019,7,July,3,20,29
202,2019-07-21,2019,7,July,3,21,29
203,2019-07-22,2019,7,July,3,22,30
204,2019-07-23,2019,7,July,3,23,30
205,2019-07-24,2019,7,July,3,24,30
206,2019-07-25,2019,7,July,3,25,30
207,2019-07-26,2019,7,July,3,26,30
208,2019-07-27,2019,7,July,3,27,30
209,2019-07-28,2019,7,July,3,28,30
210,2019-07-29,2019,7,July,3,29,31
211,2019-07-30,2019,7,July,3,30,31
212,2019-07-31,2019,7,July,3,31,31
213,2019-08-01,2019,8,August,3,1,31
214,2019-08-02,2019,8,August,3,2,31
215,2019-08-03,2019,8,August,3,3,31
